"yaw [deg], yaw_time [ms], yaw_crc"
"9.25,10324,10333.25"
"9.57,10339,10348.57"
"9.87,10354,10363.87"
"10.19,10369,10379.19"
"10.72,10384,10394.72"
"11.17,10399,10410.17"
"11.65,10414,10425.65"
"12.33,10429,10441.33"
"12.85,10444,10456.85"
"13.48,10459,10472.48"
"14.04,10474,10488.04"
"14.65,10489,10503.65"
"15.20,10504,10519.20"
"15.80,10519,10534.80"
"16.37,10534,10550.37"
"16.96,10549,10565.96"
"17.52,10564,10581.52"
"18.05,10579,10597.05"
"18.55,10594,10612.55"
"18.90,10609,10627.90"
"19.30,10624,10643.30"
"19.50,10639,10658.50"
"19.79,10654,10673.79"
"20.02,10669,10689.02"
"20.21,10684,10704.21"
"20.46,10699,10719.46"
"20.63,10714,10734.63"
"20.83,10729,10749.83"
"20.95,10744,10764.95"
"21.08,10759,10780.08"
"21.17,10774,10795.17"
"21.24,10789,10810.24"
"21.30,10804,10825.30"
"21.33,10819,10840.33"
"21.35,10834,10855.35"
"21.35,10849,10870.35"
"21.34,10864,10885.34"
"21.30,10879,10900.30"
"21.25,10894,10915.25"
"21.20,10909,10930.20"
"21.16,10924,10945.16"
"21.10,10939,10960.11"
"21.04,10954,10975.04"
"21.00,10969,10990.00"
"20.95,10984,11004.95"
"20.91,10999,11019.91"
"20.87,11014,11034.87"
"20.83,11029,11049.83"
"20.80,11044,11064.80"
"20.75,11059,11079.75"
"20.70,11074,11094.70"
"20.64,11089,11109.64"
"20.56,11104,11124.56"
"20.46,11119,11139.46"
"20.34,11134,11154.34"
"20.20,11149,11169.21"
"20.06,11164,11184.06"
"19.90,11179,11198.90"
"19.73,11194,11213.73"
"19.56,11209,11228.56"
"19.38,11224,11243.38"
"19.21,11239,11258.21"
"19.03,11254,11273.03"
"18.85,11269,11287.85"
"18.67,11284,11302.67"
"18.49,11299,11317.50"
"18.31,11314,11332.32"
"18.13,11329,11347.13"
"17.94,11344,11361.94"
"17.75,11359,11376.75"
"17.55,11374,11391.55"
"17.34,11389,11406.34"
"17.13,11404,11421.13"
"16.90,11419,11435.90"
"16.48,11434,11450.48"
"16.16,11449,11465.16"
"15.87,11464,11479.87"
"15.48,11479,11494.48"
"15.03,11494,11509.03"
"14.66,11509,11523.66"
"14.21,11524,11538.21"
"13.85,11539,11552.85"
"13.46,11554,11567.46"
"13.11,11569,11582.11"
"12.81,11584,11596.81"
"12.48,11599,11611.48"
"12.18,11614,11626.18"
"11.91,11629,11640.91"
"11.61,11644,11655.61"
"11.32,11659,11670.32"
"11.02,11674,11685.02"
"10.74,11689,11699.74"
"10.45,11704,11714.45"
"10.17,11719,11729.17"
"9.90,11734,11743.90"
"9.65,11749,11758.65"
"9.41,11764,11773.41"
"9.18,11779,11788.18"
"8.95,11794,11802.96"
"8.74,11809,11817.74"
"8.53,11824,11832.53"
"8.33,11839,11847.33"
"8.14,11854,11862.14"
"7.96,11869,11876.96"
"7.78,11884,11891.78"
"7.60,11899,11906.60"
"7.42,11914,11921.42"
"7.24,11929,11936.25"
"7.06,11944,11951.06"
"6.85,11959,11965.85"
"6.64,11974,11980.64"
"6.42,11989,11995.42"
"6.18,12004,12010.18"
"5.96,12019,12024.96"
"5.73,12034,12039.73"
"5.53,12049,12054.53"
"5.33,12064,12069.33"
"5.16,12079,12084.16"
"4.99,12094,12099.00"
"4.85,12109,12113.85"
"4.72,12124,12128.72"
"4.61,12139,12143.61"
"4.50,12154,12158.50"
"4.39,12169,12173.39"
"4.30,12184,12188.30"
"4.21,12199,12203.21"
"4.14,12214,12218.14"
"4.09,12229,12233.09"
"4.03,12244,12248.03"
"3.99,12259,12262.99"
"3.93,12274,12277.93"
"3.88,12289,12292.88"
"3.82,12304,12307.82"
"3.74,12319,12322.74"
"3.66,12334,12337.66"
"3.58,12349,12352.58"
"3.56,12364,12367.56"
"3.56,12379,12382.56"
"3.63,12394,12397.63"
"3.70,12409,12412.70"
"3.72,12424,12427.72"
"3.77,12439,12442.77"
"3.81,12454,12457.81"
"3.83,12469,12472.83"
"3.85,12484,12487.85"
"3.88,12499,12502.88"
"3.89,12514,12517.89"
"3.90,12529,12532.90"
"3.91,12544,12547.91"
"3.90,12559,12562.90"
"3.90,12574,12577.90"
"3.89,12589,12592.89"
"3.89,12604,12607.89"
"3.89,12619,12622.89"
"3.88,12634,12637.88"
"3.88,12649,12652.88"
"3.87,12664,12667.87"
"3.87,12679,12682.87"
"3.86,12694,12697.86"
"3.86,12709,12712.86"
"3.86,12724,12727.86"
"3.86,12739,12742.86"
"3.87,12754,12757.87"
"3.88,12769,12772.88"
"3.89,12784,12787.89"
"3.91,12799,12802.92"
"3.92,12814,12817.92"
"3.94,12829,12832.94"
"3.96,12844,12847.96"
"3.97,12859,12862.97"
"3.99,12874,12877.99"
"4.00,12889,12893.00"
"4.00,12904,12908.00"
"4.01,12919,12923.01"
"4.01,12934,12938.01"
"4.00,12949,12953.00"
"3.99,12964,12967.99"
"3.97,12979,12982.97"
"3.96,12994,12997.96"
"3.96,13009,13012.96"
"3.95,13024,13027.95"
"3.95,13039,13042.95"
"3.94,13054,13057.94"
"3.93,13069,13072.93"
"3.93,13084,13087.93"
"3.93,13099,13102.93"
"3.92,13114,13117.92"
"3.91,13129,13132.92"
"3.91,13144,13147.91"
"3.89,13159,13162.89"
"3.88,13174,13177.88"
"3.85,13189,13192.85"
"3.84,13204,13207.84"
"3.82,13219,13222.82"
"3.77,13234,13237.77"
"3.73,13249,13252.73"
"3.68,13264,13267.68"
"3.62,13279,13282.62"
"3.55,13294,13297.55"
"3.48,13309,13312.48"
"3.39,13324,13327.39"
"3.29,13339,13342.29"
"3.18,13354,13357.18"
"3.05,13369,13372.05"
"2.91,13384,13386.91"
"2.74,13399,13401.75"
"2.58,13414,13416.58"
"2.41,13429,13431.41"
"2.23,13444,13446.23"
"2.05,13459,13461.05"
"1.87,13474,13475.87"
"1.87,13489,13490.87"
"1.84,13504,13505.84"
"1.86,13519,13520.86"
"1.85,13534,13535.85"
"1.86,13549,13550.86"
"1.86,13564,13565.86"
"1.87,13579,13580.87"
"1.87,13594,13595.87"
"1.87,13609,13610.87"
"1.86,13624,13625.86"
"1.86,13639,13640.86"
"1.84,13654,13655.84"
"1.83,13669,13670.83"
"1.81,13684,13685.81"
"1.80,13699,13700.80"
"1.79,13714,13715.79"
"1.79,13729,13730.79"
"1.80,13744,13745.80"
"1.83,13759,13760.83"
"1.84,13774,13775.84"
"1.86,13789,13790.86"
"1.90,13804,13805.90"
"1.92,13819,13820.92"
"1.93,13834,13835.93"
"1.95,13849,13850.95"
"1.98,13864,13865.98"
"2.00,13879,13881.00"
"2.02,13894,13896.02"
"2.02,13909,13911.03"
"2.04,13924,13926.04"
"2.06,13939,13941.06"
"2.08,13954,13956.08"
"2.09,13969,13971.09"
"2.09,13984,13986.09"
"2.10,13999,14001.10"
"2.11,14014,14016.11"
"2.12,14029,14031.12"
"2.12,14044,14046.12"
"2.12,14059,14061.12"
"2.13,14074,14076.13"
"2.14,14089,14091.14"
"2.15,14104,14106.15"
"2.15,14119,14121.15"
"2.15,14134,14136.15"
"2.15,14149,14151.15"
"2.15,14164,14166.15"
"2.16,14179,14181.16"
"2.16,14194,14196.16"
"2.16,14209,14211.16"
"2.16,14224,14226.16"
"2.15,14239,14241.15"
"2.15,14254,14256.15"
"2.15,14269,14271.15"
"2.15,14284,14286.15"
"2.15,14299,14301.15"
"2.15,14314,14316.15"
"2.15,14329,14331.15"
"2.15,14344,14346.15"
"2.15,14359,14361.15"
